SG_0001,24
-1,0.1
-1,0.1
-1,0.1
-1,0.1
-1,0.1
-1,0.1
-1,0.1
-1,0.1
-1,0.1

DIR, 右,7
DIR, 左,7

0,0,21,下,0.5
0,1,21,下,0.5
0,4,21,下,0.5
0,5,21,下,0.5
4,0,21,下,0.5
4,1,21,下,0.5
4,4,21,下,0.5
4,5,21,下,0.5
0,2,21,右下,0.5
1,2,21,右下,0.5
2,2,21,右下,0.5
3,2,21,右下,0.5
4,2,21,右下,0.5
2,0,21,右下,0.5
2,1,21,右下,0.5
2,3,21,右下,0.5
2,4,21,右下,0.5
0,0,20,右,0.5
1,0,20,右,0.5
0,4,20,右,0.5
1,4,20,右,0.5
4,0,20,右,0.5
5,0,20,右,0.5
4,4,20,右,0.5
5,4,20,右,0.5
0,0,19,无,
0,1,19,无,
0,2,19,无,
0,3,19,无,
0,4,19,无,
0,5,19,无,
1,0,19,无,
1,1,19,无,
1,2,19,无,
1,3,19,无,
1,4,19,无,
1,5,19,无,
2,0,19,无,
2,1,19,无,
2,2,19,无,
2,3,19,无,
2,4,19,无,
2,5,19,无,
3,0,19,无,
3,1,19,无,
3,2,19,无,
3,3,19,无,
3,4,19,无,
3,5,19,无,
4,0,19,无,
4,1,19,无,
4,2,19,无,
4,3,19,无,
4,4,19,无,
4,5,19,无,
5,0,19,无,
5,1,19,无,
5,2,19,无,
5,3,19,无,
5,4,19,无,
5,5,19,无,
0,0,18,右下,0.5
0,1,18,右下,0.5
0,2,18,右下,0.5
0,3,18,右下,0.5
0,4,18,右下,0.5
1,0,18,右下,0.5
1,1,18,右下,0.5
1,2,18,右下,0.5
1,3,18,右下,0.5
1,4,18,右下,0.5
2,0,18,右下,0.5
2,1,18,右下,0.5
2,2,18,右下,0.5
2,3,18,右下,0.5
2,4,18,右下,0.5
3,0,18,右下,0.5
3,1,18,右下,0.5
3,2,18,右下,0.5
3,3,18,右下,0.5
3,4,18,右下,0.5
4,0,18,右下,0.5
4,1,18,右下,0.5
4,2,18,右下,0.5
4,3,18,右下,0.5
4,4,18,右下,0.5
0,2,18,上,0.5
0,3,18,上,0.5
2,0,18,左,0.5
2,5,18,右,0.5
3,0,18,左,0.5
3,5,18,右,0.5
5,2,18,下,0.5
5,3,18,下,0.5
1,1,17,无,
1,2,17,无,
1,3,17,无,
1,4,17,无,
2,1,17,无,
2,2,17,无,
2,3,17,无,
2,4,17,无,
3,1,17,无,
3,2,17,无,
3,3,17,无,
3,4,17,无,
4,1,17,无,
4,2,17,无,
4,3,17,无,
4,4,17,无,
0,1,17,右上,0.5
0,2,17,右上,0.5
0,3,17,右上,0.5
1,0,17,左下,0.5
1,5,17,右下,0.5
2,0,17,左下,0.5
2,5,17,右下,0.5
3,0,17,左下,0.5
3,5,17,右下,0.5
5,1,17,右下,0.5
5,2,17,右下,0.5
5,3,17,右下,0.5
1,1,16,右下,0.5
1,2,16,右下,0.5
1,3,16,右下,0.5
2,1,16,右下,0.5
2,2,16,右下,0.5
2,3,16,右下,0.5
3,1,16,右下,0.5
3,2,16,右下,0.5
3,3,16,右下,0.5
0,2,16,上,0.5
0,3,16,上,0.5
2,0,16,左,0.5
2,5,16,右,0.5
3,0,16,左,0.5
3,5,16,右,0.5
5,2,16,下,0.5
5,3,16,下,0.5
2,1,15,右,0.5
2,2,15,右,0.5
2,3,15,右,0.5
3,1,15,右,0.5
3,2,15,右,0.5
3,3,15,右,0.5
0,1,15,右上,0.5
0,2,15,右上,0.5
0,3,15,右上,0.5
1,0,15,左下,0.5
1,5,15,右下,0.5
2,0,15,左下,0.5
2,5,15,右下,0.5
3,0,15,左下,0.5
3,5,15,右下,0.5
5,1,15,右下,0.5
5,2,15,右下,0.5
5,3,15,右下,0.5
2,2,14,无,
2,3,14,无,
3,2,14,无,
3,3,14,无,
1,1,13,右下,0.5
1,2,13,右下,0.5
1,3,13,右下,0.5
2,1,13,右下,0.5
2,2,13,右下,0.5
2,3,13,右下,0.5
3,1,13,右下,0.5
3,2,13,右下,0.5
3,3,13,右下,0.5
2,2,12,下,0.5
2,3,12,下,0.5
1,1,11,右下,0.5
1,3,11,右下,0.5
2,2,11,右下,0.5
3,1,11,右下,0.5
3,3,11,右下,0.5
2,2,10,无,
2,3,10,无,
3,2,10,无,
3,3,10,无,
1,1,9,右下,0.5
1,3,9,右下,0.5
2,2,9,右下,0.5
3,1,9,右下,0.5
3,3,9,右下,0.5
2,2,8,无,
2,3,8,无,
3,2,8,无,
3,3,8,无,
1,1,7,右下,0.5
1,3,7,右下,0.5
2,2,7,右下,0.5
3,1,7,右下,0.5
3,3,7,右下,0.5
2,2,6,无,
2,3,6,无,
3,2,6,无,
3,3,6,无,
1,1,5,右下,0.5
1,3,5,右下,0.5
2,2,5,右下,0.5
3,1,5,右下,0.5
3,3,5,右下,0.5
2,2,4,无,
2,3,4,无,
3,2,4,无,
3,3,4,无,
1,1,3,右下,0.5
1,3,3,右下,0.5
2,2,3,右下,0.5
3,1,3,右下,0.5
3,3,3,右下,0.5
2,2,2,无,
2,3,2,无,
3,2,2,无,
3,3,2,无,
1,1,1,右下,0.5
1,3,1,右下,0.5
2,2,1,右下,0.5
3,1,1,右下,0.5
3,3,1,右下,0.5
2,2,0,无,
2,3,0,无,
3,2,0,无,
3,3,0,无,
